Test Title:	5 Element Test -90 progressive phase						
Date:	08/12/2021						
Time:	12:14						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-80.000000	Stop	80.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-80.000	-14.069	51.864	
-79.000	-13.961	45.654	
-78.000	-13.895	45.247	
-77.000	-13.836	40.711	
-76.000	-13.800	38.256	
-75.000	-13.766	40.634	
-74.000	-14.240	40.733	
-73.000	-13.955	37.040	
-72.000	-14.547	39.509	
-71.000	-14.437	41.465	
-70.000	-14.624	39.185	
-69.000	-14.241	44.104	
-68.000	-14.120	46.500	
-67.000	-13.958	44.079	
-66.000	-13.305	45.079	
-65.000	-12.490	43.094	
-64.000	-12.479	41.819	
-63.000	-12.196	36.349	
-62.000	-12.617	34.451	
-61.000	-11.636	27.281	
-60.000	-11.686	22.832	
-59.000	-11.897	17.831	
-58.000	-12.283	14.993	
-57.000	-12.384	14.970	
-56.000	-13.251	11.005	
-55.000	-13.981	0.550	
-54.000	-14.824	-5.154	
-53.000	-14.797	-5.613	
-52.000	-14.463	-13.078	
-51.000	-14.976	-20.275	
-50.000	-14.273	-31.062	
-49.000	-13.154	-42.579	
-48.000	-13.141	-52.337	
-47.000	-12.266	-67.093	
-46.000	-11.843	-77.010	
-45.000	-11.286	-82.595	
-44.000	-10.552	-96.071	
-43.000	-10.107	-98.194	
-42.000	-8.466	-107.876	
-41.000	-8.448	-110.557	
-40.000	-7.727	-113.320	
-39.000	-6.681	-121.116	
-38.000	-6.524	-124.669	
-37.000	-6.071	-127.255	
-36.000	-5.202	-131.485	
-35.000	-5.349	-130.241	
-34.000	-4.707	-137.134	
-33.000	-4.580	-137.919	
-32.000	-4.325	-140.091	
-31.000	-4.022	-143.294	
-30.000	-4.019	-142.506	
-29.000	-4.125	-147.022	
-28.000	-3.736	-144.342	
-27.000	-3.722	-147.734	
-26.000	-4.929	-148.220	
-25.000	-5.319	-151.587	
-24.000	-5.180	-149.858	
-23.000	-6.797	-151.569	
-22.000	-7.124	-157.201	
-21.000	-7.440	-161.466	
-20.000	-9.087	-163.610	
-19.000	-10.907	-167.387	
-18.000	-11.813	-171.287	
-17.000	-14.963	173.439	
-16.000	-18.411	152.509	
-15.000	-18.463	130.417	
-14.000	-18.618	90.137	
-13.000	-16.387	66.759	
-12.000	-13.336	51.855	
-11.000	-11.950	47.868	
-10.000	-10.132	44.118	
-9.000	-8.624	39.971	
-8.000	-7.756	38.662	
-7.000	-7.447	36.259	
-6.000	-6.448	37.793	
-5.000	-5.830	36.972	
-4.000	-6.094	36.305	
-3.000	-5.518	36.118	
-2.000	-6.213	37.862	
-1.000	-6.389	35.628	
0.000	-6.164	35.672	
1.000	-7.223	38.278	
2.000	-7.899	45.260	
3.000	-9.013	44.765	
4.000	-9.716	49.108	
5.000	-11.878	58.327	
6.000	-13.909	64.155	
7.000	-17.254	98.581	
8.000	-16.529	132.467	
9.000	-13.819	149.164	
10.000	-10.435	170.628	
11.000	-8.251	179.297	
12.000	-6.934	-170.575	
13.000	-4.610	-175.184	
14.000	-2.594	-170.027	
15.000	-1.287	-167.247	
16.000	0.053	-167.183	
17.000	0.737	-162.727	
18.000	1.564	-159.842	
19.000	2.165	-158.891	
20.000	3.213	-158.272	
21.000	3.706	-154.136	
22.000	4.786	-153.789	
23.000	4.686	-152.096	
24.000	4.906	-151.851	
25.000	5.825	-152.045	
26.000	5.724	-150.539	
27.000	5.579	-148.746	
28.000	6.288	-147.309	
29.000	5.825	-143.885	
30.000	5.587	-142.856	
31.000	6.266	-143.654	
32.000	5.866	-142.875	
33.000	5.891	-141.727	
34.000	6.363	-141.572	
35.000	5.880	-139.226	
36.000	5.756	-139.196	
37.000	5.300	-137.408	
38.000	4.908	-133.962	
39.000	4.677	-133.227	
40.000	4.159	-133.371	
41.000	3.439	-132.567	
42.000	3.295	-127.945	
43.000	2.548	-127.050	
44.000	2.165	-127.238	
45.000	1.328	-125.335	
46.000	0.130	-125.677	
47.000	0.161	-127.583	
48.000	-0.839	-128.181	
49.000	-1.707	-126.931	
50.000	-2.793	-126.050	
51.000	-3.823	-130.928	
52.000	-5.248	-130.352	
53.000	-6.128	-131.464	
54.000	-7.021	-134.686	
55.000	-8.648	-135.935	
56.000	-10.041	-135.244	
57.000	-10.334	-144.874	
58.000	-11.694	-151.354	
59.000	-11.427	-161.370	
60.000	-12.336	-172.372	
61.000	-12.827	-169.676	
62.000	-12.672	-174.065	
63.000	-12.921	-174.296	
64.000	-13.619	-171.652	
65.000	-14.004	-177.477	
66.000	-15.678	-172.680	
67.000	-18.663	-175.193	
68.000	-22.717	179.912	
69.000	-25.237	158.543	
70.000	-24.925	115.277	
71.000	-25.166	99.506	
72.000	-21.643	97.272	
73.000	-21.753	90.254	
74.000	-19.972	69.573	
75.000	-19.929	75.093	
76.000	-17.900	65.483	
77.000	-17.491	64.602	
78.000	-16.759	62.899	
79.000	-15.467	62.583	
80.000	-14.402	65.141	
