Test Title:	5 Element Test -118 progressive phase						
Date:	08/12/2021						
Time:	13:45						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-100.000000	Stop	100.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-100.000	-4.900	112.423	
-99.000	-5.055	109.623	
-98.000	-5.312	115.315	
-97.000	-5.587	118.177	
-96.000	-5.739	119.359	
-95.000	-6.535	125.863	
-94.000	-6.661	127.354	
-93.000	-6.681	130.282	
-92.000	-7.182	135.908	
-91.000	-7.728	140.849	
-90.000	-6.738	144.573	
-89.000	-6.916	148.356	
-88.000	-6.566	151.308	
-87.000	-6.502	153.698	
-86.000	-6.496	152.953	
-85.000	-6.078	155.983	
-84.000	-5.810	155.723	
-83.000	-5.985	156.928	
-82.000	-6.064	158.471	
-81.000	-4.476	158.301	
-80.000	-4.781	161.919	
-79.000	-5.774	164.491	
-78.000	-4.376	166.855	
-77.000	-5.109	168.960	
-76.000	-3.876	167.540	
-75.000	-4.002	168.826	
-74.000	-4.245	171.438	
-73.000	-3.441	171.078	
-72.000	-2.942	171.425	
-71.000	-4.054	176.330	
-70.000	-2.602	176.449	
-69.000	-2.594	179.488	
-68.000	-2.941	-178.747	
-67.000	-1.872	-177.751	
-66.000	-1.893	-175.734	
-65.000	-1.678	-178.393	
-64.000	-0.928	-178.819	
-63.000	-0.665	-179.628	
-62.000	-0.610	179.728	
-61.000	-0.472	177.419	
-60.000	-0.329	177.346	
-59.000	-0.160	176.467	
-58.000	0.514	175.824	
-57.000	0.199	174.969	
-56.000	0.069	173.720	
-55.000	0.206	172.278	
-54.000	0.021	170.853	
-53.000	-0.044	171.020	
-52.000	-0.676	168.130	
-51.000	-1.521	165.900	
-50.000	-1.203	162.798	
-49.000	-2.108	159.624	
-48.000	-2.653	157.300	
-47.000	-3.299	155.609	
-46.000	-2.526	150.856	
-45.000	-4.389	149.988	
-44.000	-4.480	146.864	
-43.000	-5.226	142.733	
-42.000	-6.494	137.162	
-41.000	-7.814	131.865	
-40.000	-8.080	118.274	
-39.000	-9.304	112.869	
-38.000	-10.061	101.467	
-37.000	-11.209	88.088	
-36.000	-10.288	75.145	
-35.000	-10.424	58.821	
-34.000	-10.227	39.430	
-33.000	-10.413	29.335	
-32.000	-9.193	20.651	
-31.000	-8.585	11.495	
-30.000	-8.036	-2.477	
-29.000	-7.733	-7.327	
-28.000	-7.283	-11.655	
-27.000	-7.125	-17.177	
-26.000	-7.445	-19.767	
-25.000	-7.250	-22.725	
-24.000	-7.690	-28.765	
-23.000	-7.687	-30.733	
-22.000	-7.928	-37.511	
-21.000	-10.047	-45.215	
-20.000	-9.550	-47.381	
-19.000	-10.088	-55.580	
-18.000	-10.685	-68.501	
-17.000	-11.319	-72.210	
-16.000	-11.293	-87.322	
-15.000	-11.911	-91.006	
-14.000	-12.562	-101.559	
-13.000	-12.236	-115.714	
-12.000	-10.994	-133.457	
-11.000	-10.770	-136.249	
-10.000	-9.820	-143.768	
-9.000	-8.335	-148.219	
-8.000	-8.248	-156.097	
-7.000	-7.732	-158.855	
-6.000	-7.940	-162.620	
-5.000	-8.128	-163.042	
-4.000	-6.363	-164.585	
-3.000	-5.951	-169.175	
-2.000	-7.485	-169.045	
-1.000	-6.292	-166.159	
0.000	-7.573	-170.293	
1.000	-6.410	-167.207	
2.000	-8.609	-163.924	
3.000	-8.425	-165.516	
4.000	-8.857	-159.013	
5.000	-9.847	-158.871	
6.000	-11.335	-151.686	
7.000	-12.438	-144.338	
8.000	-13.924	-133.524	
9.000	-15.682	-122.198	
10.000	-18.467	-91.903	
11.000	-17.405	-69.647	
12.000	-14.630	-42.004	
13.000	-13.494	-27.798	
14.000	-11.206	-19.467	
15.000	-10.129	-8.961	
16.000	-8.698	-7.418	
17.000	-7.590	-0.394	
18.000	-6.189	2.206	
19.000	-5.832	3.575	
20.000	-5.176	7.361	
21.000	-5.034	8.489	
22.000	-4.791	14.550	
23.000	-5.023	19.965	
24.000	-4.546	19.785	
25.000	-4.732	24.489	
26.000	-5.234	28.098	
27.000	-5.004	33.315	
28.000	-4.548	35.968	
29.000	-6.484	41.061	
30.000	-5.989	48.492	
31.000	-6.498	48.991	
32.000	-8.269	60.428	
33.000	-7.777	69.916	
34.000	-8.059	79.274	
35.000	-9.972	90.698	
36.000	-9.303	101.054	
37.000	-8.715	117.398	
38.000	-7.169	131.372	
39.000	-7.250	142.954	
40.000	-6.368	152.334	
41.000	-5.018	162.572	
42.000	-4.549	170.178	
43.000	-4.727	175.698	
44.000	-3.970	-175.964	
45.000	-3.448	-172.314	
46.000	-3.096	-167.521	
