Test Title:	5 Element Test -118 progressive phase						
Date:	08/12/2021						
Time:	13:45						
Operator Name:	Adrian						
							
[Scan Axis] Name: 	Azimuth  [deg]Start: 	-100.000000	Stop	100.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Single) 	GHz.	2.400
 [Switch]  	None [Channel]  	CH1			 [ Beam] 	None				
Database:				
First Question				
2nd				
3rd				
4th				
				
				
Frequency	2.400	GHz	
47.000	-1.373	-162.287	
48.000	-1.570	-159.561	
49.000	-1.439	-156.190	
50.000	-0.903	-152.938	
51.000	-0.321	-150.320	
52.000	-0.650	-147.896	
53.000	0.288	-145.238	
54.000	0.606	-143.934	
55.000	0.725	-140.075	
56.000	0.690	-137.888	
57.000	0.861	-137.154	
58.000	0.234	-134.637	
59.000	0.467	-131.868	
60.000	-0.054	-130.806	
61.000	-0.357	-130.034	
62.000	-0.001	-125.658	
63.000	-0.305	-126.333	
64.000	-1.000	-125.264	
65.000	-1.514	-124.911	
66.000	-1.742	-125.892	
67.000	-2.034	-124.355	
68.000	-2.380	-123.891	
69.000	-2.477	-123.965	
70.000	-1.741	-123.377	
71.000	-1.659	-124.811	
72.000	-2.786	-123.429	
73.000	-3.099	-124.813	
74.000	-3.336	-125.902	
75.000	-3.599	-129.253	
76.000	-3.476	-130.094	
77.000	-3.198	-135.272	
78.000	-4.469	-134.104	
79.000	-3.450	-138.158	
80.000	-3.311	-140.140	
81.000	-3.507	-140.445	
82.000	-4.085	-139.092	
83.000	-4.423	-141.162	
84.000	-4.696	-140.886	
85.000	-5.011	-144.651	
86.000	-6.302	-146.424	
87.000	-5.879	-151.171	
88.000	-5.304	-155.358	
89.000	-5.853	-156.110	
90.000	-6.136	-157.070	
91.000	-6.795	-159.057	
92.000	-6.353	-160.448	
93.000	-6.632	-159.873	
94.000	-5.984	-164.200	
95.000	-6.498	-167.952	
96.000	-6.935	-170.908	
97.000	-6.800	-176.280	
98.000	-6.795	-179.602	
99.000	-6.526	178.782	
100.000	-5.608	175.815	
